Address,City,State,Zip,Name,geo_longitude,geo_latitude,geo_accuracy,Description,Link,Year,Historic Property
11326 W Pico Blvd, Los Angeles,CA,90064,Billingsley's,-118.4393042,34.03479444,house,Steakhouse opened by the husband of Barbara â€œJune Cleaverâ€ù Billingsley. Dark wood & red leather booths.,http://www.billingsleysteakhouse.com/,1946,
1657 Ocean Ave, Santa Monica,CA,90401,Chez Jay,-118.493542,34.010423,house,Steakhouse inspired food served at a small restaurant once frequented by the Rat Pack.,http://articles.latimes.com/2013/mar/25/local/la-me-chez-jay-20130325,1959,
233 Huntington Dr, Arcadia,CA,91006,The Derby Restaurant,-118.0241984,34.14022262,house,Steakhouse full of horse racing memorabilia. Evolved out of the Proctor Tavern which opened in 1922.  /span,http://www.thederbyarcadia.com/,1938,
540 N Azusa Ave, Covina,CA,91722,Clearman's Northwoods Inn,-117.9076357,34.07977757,house,"Steakhouse food with a rustic, hunting lodge theme. Saw dust on floors & lots of kitsch.",http://www.yelp.com/biz/clearmans-north-woods-inn-covina,1967,
7247 Rosemead Blvd, San Gabriel,CA,91775,Clearman Northwoods Inn,,,,"Steakhouse food with a rustic, hunting lodge theme. Saw dust on floors  lots of kitsch.",http://clearmansrestaurants.com/welcome-to-north-woods-inn-san-gabriel/,1966,
1224 N Atlantic Blvd, Alhambra,CA,91801,Twohey's,-118.1344845,34.0724233,primary,"Started in Pasadena, this hamburger spot moved to Alhambra in the 1950s. Its current building was built in 1977.",http://twoheys.com/,1943,
3250 Silver Lake Blvd, Los Angeles,CA,90039,Vince's Market,-118.253813,34.114024,house,"Started as a small Italian market with deli case, Vinceâ€™s originally shared their space with a barber & beauty shop. In 1946 they took over the whole building and expanded their menu. With old school signs and funky exterior murals, they have an authentic  neighborhood feel.",http://friendsofatwatervillage.org/blog/2006/11/vinces_market_atwater_village.html,1939,
900 W Riverside Dr, Burbank,CA,91506,Viva Cantina,,,,Standard Mexican food in an equestrian setting. Live music.,http://vivacantina.com/,1962,
11205 Crenshaw Blvd, Inglewood,CA,90303,Brolly Hut,-118.3265189,33.93277224,house,"Spectacular vintage building shaped like an umbrella, serving fast-food hamburger fair. Upside-down umbrellas serve as light fixtures, vintage mosaic tiles, amazing original sign.",http://thewackytacky.blogspot.com/2014/04/chow-time-brolly-hut.html,1968,
4212 Sunset Blvd, Los Angeles,CA,90029,El Cid,-118.2821026,34.09389027,house,"Spanish tapas, paella  sangria. Flamenco supper club. Dark, winding building built in 1925 with an interesting history.",http://www.elcidla.com/about/,1963,
2920 W Jefferson Blvd, Los Angeles,CA,90018,Harold & Belle's,-118.3274588,34.0255242,house,South L.A. Creole restaurant opened by New Orleanâ€™s transplants Harold & Belle Legaux. It was renovated in 1985.,http://www.haroldandbellesrestaurant.com/,1969,
829 Harbor Island Dr, Newport Beach,CA,92660,Galley Cafe,-117.89718,33.610915,house,"Small, sunny diner with yellow leather booths and a view of the marina.",http://www.thegalleycafenewportbeach.com/,1957,
11127 Venice,Los Angeles,CA,90034,Howard Famous Bacon  Avocado Burgers,-118.4147668,34.0142115,primary,"Small, old school, sit-down fast food joint known for their burgers.",http://aht.seriouseats.com/archives/2005/06/almost-famous-h.html,1971,
24377 Main St, Santa Clarita,CA,91321,Way Station Coffee House,-118.5289853,34.37999662,house,"Small, old school coffee shop & diner serving breakfast & early lunch; a long formica counter, brown vinyl booths, a drop ceiling and a crowded wall full of vintage license plates create an authentic early â€™70s vibe.",http://www.signalscv.com/archives/33438/,1971,
906 E Washington Ave, Santa Ana,CA,92701,La Chiquita Restaurant,-117.857849,33.75555882,house,"Small, no frills Mexican cafe with basic tables  chairs. Original vintage sign out front.",http://newsantaana.com/2010/09/06/sixty-years-of-delicious-food-at-la-chiquita-in-santa-anas-logan-barrio/,1950,
2428 Western Ave, San Pedro,CA,90732,Sorrento Restaurant,,,,"Small, casual old school Italian-American restaurant with green leather booths, wood paneling and a Italian-themed mural in a circular inlay in the ceiling.",http://sorrentositalianrestaurant.com/,1962,
3178 Los Feliz Blvd, Los Angeles,CA,90039,Giamela,-118.2692873,34.1230464,primary,"Small, casual neighborhood Italian submarine shop founded in 1964, with several locations. The building was constructed in 1924 and hasnâ€™t had a major reconstruction since 1952.",https://giamelas.com/,1964,
4604 Eagle Rock Blvd, Los Angeles,CA,90041,The Capri,-118.2176976,34.12771815,house,"Small, casual Italian restaurant owned by the same family until 1997. Remodeled a few years ago.",http://www.thecaprila.com/,1963,
1410 W Florence Ave, Los Angeles,CA,90047,Art's Chili Dog,11.3400106,51.3258094,locality,"Small, but notable hot dog shack on the corners of Florence & Normandie (where the riots started in â€™92). Opened at another location in 1939. Great neon signs.",http://articles.latimes.com/1995-03-09/news/cb-40574_1_chili-dog,1944,
322 PCH, Hermosa Beach,CA,90254,Rosa Mexican Restaurant,,,,"Small, bright and festively painted Mexican Restaurant. Same chef since 1973.",http://www.rosasmexrestaurant.com/aboutus.html,1973,
2323 Wilshire Blvd, Santa Monica,CA,90403,Snug Harbor,-118.4804945,34.0336377,house,"Small, authentic early 1940 diner with a small counter and a few booths.",http://www.snugharbor.us/www.snugharbor.us/About_Us.html,1941,
16063 Sherman Way, Van Nuys,CA,91406,Beeps,-118.4827714,34.20113455,house,"Small, authentic 1950â€™s diner with counter service; jam-packed with memorabilia.",http://www.beepsdiner.com/,1956,
16616 S Normandie Ave, Gardena,CA,90247,Josie's Place,-118.299735,33.879439,house,Small take-out Mexican food shack with vintage sign.,http://josiesplacegardena.webs.com/,1952,
2100 Sunset Blvd, Los Angeles,CA,90026,Pizza Buona,-118.263583,34.077514,house,Small storefront restaurant in Echo Park serving pizza and Italian dishes.,http://pizzabuonala.com/,1959,
1242 Pico St, San Fernando,CA,91340,Carillo's Tortilleria,-118.4448947,34.28367011,house,"Small self-serve style restaurant with casual seating that grew out of a family owned hand made tortilla factory. Known for their tamales, menudo & homemade tortillas.",http://carrillostortilleria.com/about-us/history-carrillos-mexican-food/,1944,
1908 E 110th St, Los Angeles,CA,90059,Lee's Market,-118.2386616,33.93504643,house,"Small market in Watts with take-out window serving fried chicken, burgers, Mexican.",http://www.yelp.com/biz/lees-market-los-angeles-2,1967,
219 E Martin Luther King Jr Blvd, Los Angeles,CA,90011,Bill's Taco House,-118.2708076,34.01122614,house,Small fast food taco shop with molded laminate seating and a vintage sign out front.,http://www.lifebeginsat30.com/jen/2007/10/the-tacos-that-.html,1949,
11751 W Pico Blvd, Los Angeles,CA,90064,La Talpa,-118.4466892,34.03121449,house,Small family owned Mexican restaurant with an amazing original neon sign of a man in a sombrero taking a siesta under a cactus. The simple interior is decorated with murals and a front facing stained glass window.,http://thetalpa.com/,1964,
3404 E 4th St, Long Beach,CA,90804,Francelli's,-118.1578403,33.7717063,tertiary,Small and basic red checkered tablecloth place serving basic Italian-American food.,http://www.francellis.com/,1969,
740 E Broadway, Glendale,CA,91205,Mario Italian Deli,,,,Small & busy Italian market with authentic deli counter preparing Italian sandwiches and staples like lasagna & spaghetti; a few tables available for eating in.,http://www.yelp.com/biz/marios-italian-deli-and-market-glendale,1961,
8136 Sepulveda, Van Nuys,CA,91402,Dr. Hogly Wogly's Tyler Texas BBQ,-118.4665747,34.21865061,house,"Simple, wood paneled walls and booth-styled BBQ joint. Small outdoor seating area.",http://www.hoglywogly.com/id24.html,1969,
2440 E Thousand Oaks, Thousand Oaks,,91362,Harold House of Omelettes,,,,"Serves omelettes as well as burgers, sandwiches and Mexican food.",http://www.eatatharolds.com/,1961,
2533 La Cadena Dr S, Colton,CA,92324,Pinnacle Peak,,,,Second location of the 1967 San Dimas location. A working manâ€™s steakhouse.,http://www.pinnaclepeaksteakhouse.com/,1970,
269 W Foothill Blvd, San Dimas,CA,91773,Pinnacle Peak,-117.8112147,34.12525862,house,Second location of the 1967 San Dimas location. A working manâ€™s steakhouse.,http://www.pinnaclepeaksteakhouse.com/Our_Story.html,1967,
12036 Ventura Blvd, Studio City,CA,91604,Du-pars,-118.4077089,34.1435497,primary,"Second branch of the Farmer Market diner  homey with leather  wood booths, chandeliers, ornate carpeting.",http://www.du-pars.com/dupars_story.html,1948,
74 Kinney St, Santa Monica,CA,90405,Enterprise Fish Co.,-118.4810986,33.998771,residential,Seafood. Second location of a 1977 Santa Barbara restaurant.,http://www.yelp.com/biz/enterprise-fish-santa-monica-3,1979,
2200 Newport Blvd, Newport Beach,CA,92663,Crab Cooker,11.3400106,51.3258094,locality,"Seafood restaurant opened in 1951, moved to its current location in 1961. Casual vintage decor.",http://www.crabcooker.com/crab-cooker-history.htm,1951,
2442 Main St, Santa Monica,CA,90405,The Galley,-118.4854126,34.00371953,house,"Santa Monica oldest restaurant and bar eccentrically decorated in a nautical theme, serving steak  seafood.",http://thegalleyrestaurant.net/history.htm,1934,
17884 Sierra Hwy, Canyon Country,CA,91351,The Backwoods Inn,-118.4482877,34.42579067,house,"Rustic mid-century steakhouse with saw dust on the floor, wood, antiques  a bar built in 1978.",http://www.backwoodsinn.com/about/,1968,
704 S Alvarado St, Los Angeles,CA,90057,Langer's Delicatessan,,,,"Respected  Jewish deli, noted for pastrami vintage signs, mid-century tile work, booths  counter.",http://www.langersdeli.com/about-langers-delicatessen-restaurant/,1947,
808 Fair Oaks Ave, South Pasadena,CA,91030,Gus's Barbecue,-118.1502393,34.11643767,house,Renovated BBQ joint originally opened in 1946.,http://www.gussbbq.com/aboutus.html,1946,
10001 Riverside Dr, Toluca Lake,CA,91602,Paty's Restaurant,,,,Remodeled retro diner patronized by celebrities. Near Warner Bros studios.,http://www.patysrestaurant.com/about-us/,1960,
8039 Beach Blvd, Buena Park,CA,90620,Mrs. Knott's Chicken Dinner,-118.0004315,33.8459797,attraction,Remodeled chicken restaurant that evolved from the initial berry farm & grew into the amusement park; just outside the gates of the park.,https://www.knotts.com/california-marketplace/mrs-knott-s-chicken-dinner-restaurant,1934,
2352 N Lake Ave, Altadena,CA,91001,Fox's,-118.131384,34.18629612,house,"Quaint, family owned cafe serving breakfast and brunch in a small house. Cool original fox sign out front.",http://hometown-pasadena.com/eat-drink/foxs-diner/86174,1955,
197 E High St, Moorpark,CA,93021,Cactus Patch Restaurant,-118.880715,34.28536,house,Quaint early 821770s diner with wood paneling and old west decor. Breakfast and brunch.,http://www.yelp.com/biz/cactus-patch-restaurant-moorpark,1970,
7985 Santa Monica, West Hollywood,CA,90046,French Quarter Restaurant,-118.3659293,34.0907765,primary,"Quaint and over the top kitschy cafeteria-style cafe, meant to feel like New Orleans.",http://www.yelp.com/biz/french-quarter-restaurant-west-hollywood,1974,
20356 Pacific Coast Hwy, Malibu,CA,90265,Moonshadows,-118.6911512,34.0346752,primary,"Pricey ocean front restaurant. Its exterior remains the same, but its interior was remodeled in 2012.",http://www.moonshadowsmalibu.com/about,1972,
9785 Santa Monica Blvd, Beverly Hills,CA,90210,La Dolce Vita,-118.409207,34.06717261,house,"Pricey Italian. A Rat Pack favorite with brick walls, a dark interior, red leather booths  white tablecloths.",http://www.ladolcevitabeverlyhills.com/about-us/,1966,
5522 Crebs Ave, Tarzana,CA,91356,Le Sanglier,-118.5432649,34.17077881,house,"Pricey French restaurant in dark, remodeled room with country French decor.",http://www.lesanglierrestaurant.com/aboutus/,1970,
201 S Bradford Ave, Placentia,CA,92870,El Farolito,-117.871048,33.870497,house,Popular Mom  Pop Mexican restaurant. Old school 821770s decor.,http://elfarolitomex.com/about_us_2.html,1974,
470 N La Cienega Blvd, West Hollywood,CA,90048,Norm Restaurant,,,,"Part of the 1949 founded chain, this Googie Armet  Davis designed location is the oldest left.",http://normsrestaurants.com/lacienega.html,1957,
8447 Santa Monica Blvd, West Hollywood,CA,90069,Barney's Beanery,11.3400106,51.3258094,locality,Originally opened in Berkeley in 1920; roadhouse-style restaurant serving large menu.,http://barneysbeanery.com/about/,1927,
4923 Topanga Canyon Blvd, Woodland Hills,CA,91364,Rib Ranch BBQ,-118.6059128,34.15755383,house,"Originally opened in 1970 in Sepulveda, CA. Rustic, quaint, down-home feel.",http://famishedla.blogspot.com/2009/03/beginning-bbq-journey-at-rib-ranch-in.html,1973,
3361 W 8th St, Los Angeles,CA,90005,Taylor Steakhouse,,,,Originally opened in 1953 on the corner of Olympic  Western. Moved to this location in 1970.,http://www.taylorssteakhouse.com/aboutus.html,1953,
9023 E. Washington Blvd, Pico Rivera,CA,90660,Dal Rae,11.3400106,51.3258094,locality,"Originally opened in 1951 at another location, this steakhouse has beautiful wood & black leather booths.",http://www.dalrae.com/about-us/,1958,
30354 Mulholland Hwy, Cornell,CA,91301,The Rock Store,-118.787753,34.111009,house,"Originally opened as a grocery store, it had been a stage coach stop in the 1910s. Rustic BBQ/Burger joint & motorcycle hangout. River rock facade and outdoor patio.",http://www.rock-store.com/about.htm,1961,
5615 Sepulveda Blvd, Culver City,CA,90230,George Petrelli's Steak House,-118.3952414,33.98984318,house,"Originally located across the street, this vintage steakhouse moved here in the early 1990.",http://www.georgepetrellisteaks.com/,1931,
Angeles Crest Highway 2, La Canada Flintridge,CA,91011,Newcomb Ranch,-118.2002232,34.2072857,secondary,"Originally built in 1939 this rustic roadhouse, at the snowline up mountainous Angeles Crest, was rebuilt after a 1976 fire. With a wooden exterior, pine board walls and a bar.",http://newcombsranch.com/history/,1939,
877 S Figueroa St, Los Angeles,CA,90017,Original Pantry Cafe,,,,Originally a block away in this location since 1950. Serving traditional American food 24 hrs a day.,http://www.pantrycafe.com/,1924,
2575 Beverly Blvd, Los Angeles,CA,90057,Original Tommy Hamburgers,-118.276273,34.0693585,house,Original walk-up stand of a hamburger chain with over 30 Southern California locations.,http://www.originaltommys.com/about-us/history/,1946,
2428 S Garfield Ave, Monterey Park,CA,91754,The Venice Room,,,,"Original neon sign, mid-century red leather booths  bar at this 8220grill your own8221 steakhouse.",http://www.theveniceroom.com/,1955,
1409 S Baldwin Ave, Arcadia,CA,91007,Moffet Chicken Pie Shop,,,,Original mid-821770s country kitsch decor serving comfort food and specializing in pot pies.,http://www.moffettsfamilyrestaurant.com/moffetts-family-restaurant-and-chicken-pie-shoppe-about.htm,1975,
1 W Valley Blvd, Alhambra,CA,91801,The Hat,-118.123152,34.078645,house,Original location of the well-known pastrami chain.,http://en.wikipedia.org/wiki/The_Hat,1951,
1514 N Gower St, Los Angeles,CA,90028,Roscoe Chicken  Waffles,,,,Original location of the iconic restaurant serving chicken  waffles.,http://www.roscoeschickenandwaffles.com/,1975,
11908 Hawthorne Blvd, Hawthorne,CA,90250,Chips Restaurant,-118.3523618,33.92524035,house,Original Googie diner with spectacular sign  wavy roof line  serving classic diner food.,http://dinerwood.blogspot.com/2010/02/chips-something-familiar.html,1955,
2104 E Broadway, Long Beach,CA,90803,The Original Park Pantry,-118.1656575,33.76680976,house,"Original 1950s vintage building with a great neon sign. Serving American diner-style food. The inside has been somewhat redecorated, but still keeps an old school integrity.",http://www.usmenuguide.com/parkpantry.html,1956,
210 Fishermans Wharf, Redondo Beach,CA,90277,Tony on the Pier,-118.3891389,33.83839112,house,Opened with a small shack  in 1961-63 rebuilt as spectacular mid-century modern. Seafood.,http://oldtonys.com/about.php,1952,
4745 Lankershim Blvd, North Hollywood,CA,91602,Little Toni's,11.3400106,51.3258094,locality,"Opened in the mid-â€™50s in place of Cottage Italia and serving Italian-American food, this restaurant has an authentic old school vibe. Dark, with red leather booths, stained glass, wood & Italian inspired decor.",http://www.yelp.com/biz/little-tonis-north-hollywood,1956,
335 Culver Blvd, Playa Del Rey,CA,90293,Prince Oâ€™ Whales,-118.4462641,33.96074875,house,"Opened in 1955 as the 8220Bowspirit8221 and claims to be L.A. oldest sports bar. Serves breakfast, lunch  dinner.",http://www.princeowhales.com/,1972,
1206 W Holt Blvd, Ontario,CA,91762,Vince's Spaghetti,-117.6723663,34.06338467,house,"Opened in 1945 as a French Dip stand, started serving spaghetti the next year. Amazing sign, casual interior.",http://www.vincesspaghettirestaurant.com/,1946,
7156 Santa Monica Boulevard, West Hollywood,CA,90046,Formosa Cafe,-118.3659293,34.0907765,primary,"Opened by a prize fighter in an old red trolley car, it has kept its vintage integrity.",http://en.wikipedia.org/wiki/Formosa_Cafe,1925,
7470 Melrose Ave, Los Angeles,CA,90036,Antonio Restaurant,-118.3526723,34.08353825,house,"Opened before Melrose became trendy, this Mexican restaurant is dark, with an old school feel, including wrought iron, Mexican tile and walls full of old photos.",http://www.antoniosonmelrose.com/,1970,
17 Olvera St, Los Angeles,CA,90012,La Golondrina Mexican Cafe,-118.2373201,34.0581578,pedestrian,"Opened as La Mission Cafe on Spring St. In 1928 moved to the oldest brick building in LA, built 1855.",http://www.yelp.com/biz/casa-la-golondrina-mexican-cafe-los-angeles,1928,
1200 Nagoya Way, San Pedro,CA,90731,Ports 'O Call Restaurant,11.3400106,51.3258094,locality,"Opened as a waterfront Polynesian restaurant and originally surrounded by a man-made moat, the menu changed to steak and seafood in 1985 and has been remodeled.",http://www.yelp.com/biz/ports-o-call-waterfront-dining-san-pedro-2,1961,
9132 S Sepulveda Blvd, Los Angeles,CA,90045,Melody Bar & Grill,-118.394019,33.9781448,primary,"Opened as a steakhouse in 1952, now a bar  restaurant. Vintage rock fireplace, red leather booths.",http://barmelodylax.com/?page_id=9,1952,
2301 Vermont Ave, Los Angeles,CA,90007,El Migueleno Restaurant,-118.291642,34.034939,house,One of the first Salvadorian restaurants to open in L.A. Basic modern interior & exterior.,http://articles.latimes.com/2012/sep/09/local/la-me-salvadorans-20120910,1969,
